iter	RMSE
0	11774.43824
1	11396.36812
2	11050.59883
3	10714.94988
4	10409.71227
5	10108.134
6	9800.423903
7	9520.164071
8	9247.125497
9	9004.566355
10	8762.52969
11	8552.510044
12	8339.145219
13	8160.95015
14	7969.102344
15	7779.616487
16	7597.684578
17	7431.157281
18	7266.626711
19	7109.237536
20	6948.83916
21	6804.525084
22	6665.295938
23	6543.503488
24	6427.291383
25	6312.875636
26	6203.568228
27	6091.449202
28	5996.608609
29	5899.508963
30	5823.632587
31	5736.550491
32	5660.3717
33	5578.933687
34	5510.639295
35	5448.826431
36	5383.305594
37	5319.587099
38	5264.358108
39	5207.163447
40	5157.772747
41	5111.816693
42	5067.140292
43	5023.080854
44	4982.767842
45	4944.742638
46	4910.977648
47	4877.289545
48	4853.240022
49	4822.076869
50	4790.890681
51	4763.124303
52	4742.074634
53	4715.991289
54	4692.416785
55	4667.850851
56	4649.711214
57	4630.030876
58	4611.487222
59	4591.447045
60	4573.742448
61	4558.591112
62	4543.240485
63	4528.651192
64	4513.919177
65	4497.668632
66	4485.107102
67	4479.65103
68	4470.837879
69	4456.432603
70	4442.173007
71	4429.258436
72	4419.060409
73	4409.185046
74	4398.424631
75	4393.224653
76	4389.156511
77	4379.41768
78	4370.996061
79	4362.628847
80	4355.288949
81	4347.418314
82	4343.631487
83	4338.139864
84	4332.151754
85	4326.863121
86	4320.756207
87	4312.768383
88	4303.531553
89	4298.851623
90	4294.159339
91	4289.694366
92	4284.670275
93	4280.275111
94	4276.806291
95	4271.702421
96	4266.431209
97	4262.112694
98	4258.207449
99	4249.700622
100	4245.625459
101	4240.777205
102	4236.552594
103	4233.275714
104	4228.948497
105	4221.059849
106	4219.773442
107	4214.541659
108	4211.453991
109	4207.23439
110	4202.245343
111	4198.745004
112	4192.971197
113	4188.748452
114	4184.322269
115	4179.533845
116	4176.809283
117	4173.513987
118	4167.910021
119	4166.309864
120	4159.610785
121	4155.343471
122	4150.40634
123	4146.004146
124	4144.099318
125	4139.826454
126	4135.943682
127	4131.540674
128	4128.560633
129	4127.278108
130	4125.399496
131	4120.199918
132	4118.4457
133	4115.066667
134	4112.920669
135	4110.477923
136	4107.602006
137	4107.441433
138	4104.28412
139	4101.371301
140	4095.924682
141	4092.707923
142	4089.191498
143	4085.856489
144	4082.946503
145	4080.564751
146	4078.267621
147	4077.035577
148	4074.851615
149	4069.192907
150	4066.821577
151	4064.184643
152	4062.049511
153	4059.047135
154	4054.432601
155	4051.829242
156	4047.294356
157	4042.890762
158	4040.031296
159	4036.928223
160	4036.348264
161	4030.510384
162	4026.484409
163	4022.510625
164	4018.207083
165	4015.607308
166	4010.548773
167	4008.704065
168	4005.833144
169	4001.476765
170	3996.228124
171	3994.612637
172	3992.42384
173	3988.950858
174	3986.249931
175	3985.230386
176	3982.195983
177	3979.07913
178	3975.829802
179	3974.127083
180	3970.466692
181	3968.4686
182	3965.250129
183	3963.571416
184	3959.621674
185	3958.50058
186	3956.982383
187	3952.551346
188	3949.014264
189	3944.950483
190	3939.946013
191	3939.536686
192	3936.229549
193	3934.126665
194	3930.699567
195	3928.797682
196	3926.431231
197	3924.368728
198	3924.030882
199	3922.394995
200	3920.559589
201	3919.563993
202	3918.517142
203	3913.345125
204	3910.45657
205	3908.230232
206	3905.879516
207	3903.32866
208	3900.092709
209	3897.023819
210	3892.946802
211	3891.387045
212	3889.070435
213	3887.446529
214	3886.537614
215	3885.157254
216	3882.79374
217	3881.192651
218	3879.282383
219	3877.004616
220	3875.030169
221	3874.556552
222	3871.633008
223	3867.785201
224	3866.511031
225	3861.69688
226	3860.692261
227	3854.760957
228	3854.49552
229	3848.990082
230	3846.580213
231	3845.509125
232	3840.29265
233	3839.941402
234	3837.805102
235	3832.350463
236	3829.306262
237	3826.013818
238	3822.731603
239	3818.718583
240	3817.662148
241	3815.061517
242	3813.676915
243	3812.824196
244	3811.887378
245	3806.70757
246	3806.304039
247	3803.494691
248	3803.314342
249	3801.987857
250	3799.801002
251	3796.545616
252	3793.847934
253	3792.990157
254	3792.730026
255	3791.459871
256	3789.600431
257	3789.418981
258	3786.260736
259	3780.167649
260	3779.401377
261	3775.643527
262	3774.679089
263	3773.778083
264	3769.647646
265	3768.854802
266	3768.10372
267	3767.194301
268	3766.038481
269	3762.0866
270	3760.392758
271	3757.558681
272	3754.017169
273	3752.173359
274	3750.618391
275	3748.050166
276	3746.354822
277	3741.99538
278	3738.016123
279	3734.868835
280	3733.230315
281	3732.624149
282	3731.027839
283	3727.220161
284	3723.482884
285	3722.387998
286	3718.858764
287	3718.037039
288	3716.411613
289	3715.373332
290	3711.802053
291	3710.606661
292	3709.736136
293	3708.749228
294	3706.797092
295	3705.189648
296	3700.66488
297	3698.519568
298	3698.06183
299	3695.469992
300	3693.265047
301	3693.083547
302	3692.926405
303	3691.735711
304	3690.566222
