iter	Passed	Remaining
0	3	326
1	4	228
2	6	224
3	9	221
4	12	238
5	15	245
6	19	259
7	23	264
8	28	284
9	29	264
10	38	314
11	42	308
12	44	300
13	52	324
14	55	314
15	58	306
16	61	299
17	64	294
18	66	285
19	70	281
20	72	271
21	73	260
22	75	253
23	78	247
24	80	242
25	83	238
26	86	233
27	88	227
28	90	221
29	91	214
30	93	209
31	96	204
32	98	200
33	99	193
34	101	188
35	103	184
36	106	180
37	107	176
38	109	171
39	112	168
40	114	164
41	116	160
42	117	156
43	119	152
44	121	148
45	123	144
46	125	141
47	129	139
48	129	135
49	131	131
50	133	128
51	136	125
52	138	122
53	140	120
54	142	116
55	144	113
56	146	110
57	147	106
58	149	103
59	150	100
60	152	97
61	154	94
62	156	91
63	158	89
64	162	87
65	164	84
66	166	81
67	166	78
68	170	76
69	175	75
70	177	72
71	184	71
72	186	68
73	188	66
74	190	63
75	191	60
76	193	57
77	196	55
78	200	53
79	202	50
80	204	47
81	206	45
82	207	42
83	209	39
84	211	37
85	213	34
86	215	32
87	217	29
88	219	27
89	221	24
90	222	22
91	228	19
92	230	17
93	232	14
94	234	12
95	237	9
96	239	7
97	242	4
98	244	2
99	246	0
