iter	RMSE
0	11398.71711
1	11043.36356
2	10734.07865
3	10415.96628
4	10159.01597
5	9902.260574
6	9639.550893
7	9416.345123
8	9220.162702
9	8968.274395
10	8740.416679
11	8526.985428
12	8339.690928
13	8143.360979
14	7951.01678
15	7766.5044
16	7598.077649
17	7434.465363
18	7278.582129
19	7137.159917
20	6994.114627
21	6859.0424
22	6731.464683
23	6602.705639
24	6482.006248
25	6370.828039
26	6270.504137
27	6167.259964
28	6073.008097
29	5985.812949
30	5901.215555
31	5810.268819
32	5737.16006
33	5666.925034
34	5600.601981
35	5533.776756
36	5467.418634
37	5403.088733
38	5346.768193
39	5293.592339
40	5241.22977
41	5192.405284
42	5145.338094
43	5103.073726
44	5065.760218
45	5029.180165
46	4993.307484
47	4958.840169
48	4933.875389
49	4901.232089
50	4873.278313
51	4837.590443
52	4810.581157
53	4789.589026
54	4762.593154
55	4736.112216
56	4717.671412
57	4694.846768
58	4673.851068
59	4659.193902
60	4640.936024
61	4622.274246
62	4603.039618
63	4588.177476
64	4571.938869
65	4556.181211
66	4537.94182
67	4529.877984
68	4517.666278
69	4505.210773
70	4493.57719
71	4482.447358
72	4471.20604
73	4461.302799
74	4450.588153
75	4437.143133
76	4426.930446
77	4416.416663
78	4406.684486
79	4396.17017
80	4388.79856
81	4381.398969
82	4373.194276
83	4366.069579
84	4360.514203
85	4353.781406
86	4346.621516
87	4338.462228
88	4334.210024
89	4327.012643
90	4322.028538
91	4315.371496
92	4305.511722
93	4301.554306
94	4294.027686
95	4288.266746
96	4283.073491
97	4276.9134
98	4274.306727
99	4270.542845
100	4263.167147
101	4256.494627
102	4251.327176
103	4248.330872
104	4241.653674
105	4235.091911
106	4231.52206
107	4227.068473
108	4222.399718
109	4217.36418
110	4214.538153
111	4208.329689
112	4201.049442
113	4197.697986
114	4193.675473
115	4190.690583
116	4186.982545
117	4184.541448
118	4181.251566
119	4177.670115
120	4174.742397
121	4169.096084
122	4162.927518
123	4158.46278
124	4155.780544
125	4154.18419
126	4145.423474
127	4137.401661
128	4135.073342
129	4132.474408
130	4131.135452
131	4128.462975
132	4125.866565
133	4120.815903
134	4115.350455
135	4112.567332
136	4110.31563
137	4104.814856
138	4101.546723
139	4098.280662
140	4096.109831
141	4094.52618
142	4091.541397
143	4091.341305
144	4088.374351
145	4086.867076
146	4083.027621
147	4080.720505
148	4078.524316
149	4075.272652
150	4073.417667
151	4067.930929
152	4063.410497
153	4061.180429
154	4059.316437
155	4054.74638
156	4051.875344
157	4049.97031
158	4047.744038
159	4040.703865
160	4038.168783
161	4036.16319
162	4031.016546
163	4028.963083
164	4024.275255
165	4022.826958
166	4019.070499
167	4018.338234
168	4014.907896
169	4009.085879
170	4005.862657
171	4002.671256
172	4000.760006
173	3998.94047
174	3996.446511
175	3992.467471
176	3989.331903
177	3986.295995
178	3982.66766
179	3977.716717
180	3973.819708
181	3971.636853
182	3968.172474
183	3964.913482
184	3964.646239
185	3962.690525
186	3961.04796
187	3960.590025
188	3956.282817
189	3953.093006
190	3949.971732
191	3947.980715
192	3945.332318
193	3940.624391
194	3936.908426
195	3935.688617
196	3933.397063
197	3930.984547
198	3929.819804
199	3928.067518
200	3925.958707
201	3924.181327
202	3921.840974
203	3920.676056
204	3916.260461
205	3912.370095
206	3911.122681
207	3906.421081
208	3903.951824
209	3900.874249
210	3897.288358
211	3894.438015
212	3892.217973
213	3889.469344
214	3888.267416
215	3885.027851
216	3883.003458
217	3877.183237
218	3875.042856
219	3871.435663
220	3868.569355
221	3864.220401
222	3862.65108
223	3861.615355
224	3860.429598
225	3858.100668
226	3854.300303
227	3852.842984
228	3851.39354
229	3846.969062
230	3844.871494
231	3843.048841
232	3840.492906
233	3838.973058
234	3836.594398
235	3835.059332
236	3832.737465
237	3830.99601
238	3827.990442
239	3826.823112
240	3824.13201
241	3822.886896
242	3820.967341
243	3816.754081
244	3815.677005
245	3810.661781
246	3806.059131
247	3804.479058
248	3803.568048
249	3801.428882
250	3799.654041
251	3797.778728
252	3794.911293
253	3793.69994
254	3792.341664
255	3791.738774
256	3790.545365
257	3788.824352
258	3786.912042
259	3785.138187
260	3784.061067
261	3782.545611
262	3780.998633
263	3779.739505
264	3776.871
265	3775.361865
266	3769.370968
267	3768.30127
268	3763.81535
269	3761.080127
270	3760.379139
271	3756.409259
272	3755.306468
273	3752.432196
274	3751.385711
275	3747.523816
276	3743.405732
277	3741.787208
278	3740.324065
279	3737.945994
280	3734.277522
281	3731.294959
282	3730.032322
283	3725.556627
284	3723.032954
285	3720.959185
286	3719.694975
287	3718.934909
288	3718.477829
289	3714.212185
290	3712.49158
291	3709.129572
292	3707.904669
293	3704.008362
294	3703.376359
295	3702.507833
296	3700.204136
297	3696.360795
298	3692.073789
299	3687.350544
300	3683.296552
301	3678.982517
302	3676.480079
303	3675.896819
304	3674.135673
305	3673.575135
306	3668.941532
307	3665.136474
308	3664.030839
309	3663.656994
310	3661.317135
311	3659.613607
312	3654.826874
313	3652.108356
314	3650.450013
315	3645.946477
316	3645.118402
317	3643.638981
318	3638.523761
319	3634.359479
320	3631.826978
321	3630.201185
322	3628.619403
323	3625.481382
324	3622.539436
325	3618.900467
326	3616.936514
327	3614.544189
328	3613.014668
329	3611.522584
330	3608.4226
331	3606.033652
332	3602.905804
333	3597.415266
334	3596.298963
335	3593.323499
336	3592.224434
337	3591.484256
338	3590.099823
339	3586.868397
340	3585.779585
341	3581.830905
342	3580.848023
343	3578.773226
344	3577.407314
345	3575.99144
346	3574.240842
347	3571.341332
348	3569.95693
349	3568.055535
350	3565.502788
351	3561.824884
352	3557.184174
353	3555.959602
354	3554.384589
355	3552.74797
356	3549.478333
357	3546.419536
358	3545.17742
359	3542.080011
360	3538.927803
361	3535.570791
362	3530.704053
363	3527.869605
364	3524.470349
365	3523.260378
366	3521.855026
367	3519.975081
368	3518.421169
369	3517.320809
370	3515.849358
371	3515.31904
372	3513.259203
373	3511.615093
374	3510.357169
375	3505.359088
376	3503.06859
377	3501.832164
378	3499.417461
379	3497.53812
380	3496.309241
381	3495.195262
382	3490.641752
383	3490.237944
384	3486.212176
385	3484.766445
386	3483.551478
387	3482.88743
388	3481.729606
389	3480.573357
390	3479.013422
391	3474.734651
392	3474.026224
393	3473.21216
394	3472.113596
395	3469.23019
396	3468.984527
397	3466.475278
398	3465.455306
399	3464.457542
400	3464.00885
401	3463.338817
402	3461.081939
403	3460.117097
404	3456.04641
405	3455.126765
406	3453.652735
407	3452.387013
408	3449.329653
409	3449.079405
410	3446.958609
411	3445.570849
412	3444.269711
413	3441.314203
414	3440.598092
415	3437.325882
416	3434.430638
417	3432.225188
418	3431.887334
419	3430.481499
420	3428.728938
421	3428.533429
422	3427.643199
423	3427.102286
424	3424.59719
425	3421.618743
426	3420.936337
427	3419.067142
428	3416.149598
429	3415.821611
430	3413.681048
431	3412.606454
432	3411.186929
433	3409.944766
434	3407.198476
435	3404.72045
436	3401.04569
437	3400.866578
438	3400.040456
439	3399.04461
440	3398.192474
441	3396.655603
442	3392.793879
443	3388.75435
444	3386.644951
445	3386.391287
446	3383.937642
447	3381.843076
448	3380.993028
449	3380.252174
450	3377.540572
451	3376.947351
452	3375.133313
453	3373.157733
454	3372.37122
455	3371.964413
456	3369.868681
457	3367.730904
458	3367.557646
459	3367.376646
460	3365.774615
461	3363.750931
462	3362.698399
463	3361.096511
464	3358.910085
465	3357.230092
466	3356.403554
467	3353.460515
468	3351.256164
469	3347.849712
470	3344.25658
471	3340.83533
472	3340.003803
473	3339.331809
474	3338.484581
475	3335.761147
476	3335.056747
477	3334.011272
478	3333.685252
479	3332.226261
480	3328.85292
481	3325.575814
482	3324.196702
483	3323.753017
484	3323.080393
485	3322.916131
486	3322.740244
487	3320.698673
488	3319.213202
489	3318.907336
490	3318.62965
491	3316.365061
492	3315.029562
493	3314.399706
494	3313.882409
495	3313.264393
496	3312.025563
497	3308.31101
498	3307.893266
499	3305.197131
500	3304.673534
501	3303.450382
502	3302.124135
503	3300.70933
504	3298.252412
505	3296.44756
506	3295.401025
507	3293.818394
508	3290.909001
509	3289.830732
510	3288.614176
511	3288.225713
512	3285.692032
513	3283.279933
514	3279.736803
515	3276.341018
516	3272.540124
517	3271.563267
518	3270.986088
519	3268.725948
520	3266.289348
521	3264.415521
522	3263.938631
523	3262.984339
524	3260.488893
525	3258.409659
526	3257.088819
527	3254.995665
528	3252.4025
529	3251.014706
530	3249.902991
531	3248.594793
532	3246.96577
533	3246.742444
534	3245.229826
535	3241.952463
536	3241.683918
537	3241.037631
538	3238.457216
539	3237.18717
540	3235.373661
541	3234.144486
542	3232.581618
543	3232.018496
544	3227.363597
545	3225.955255
546	3225.232944
547	3223.505491
548	3221.817314
549	3221.078883
550	3220.146337
551	3217.372897
552	3213.44848
553	3211.285649
554	3209.589473
555	3209.107899
556	3206.605067
557	3204.391757
558	3203.857256
559	3201.953708
560	3199.237537
561	3198.696255
562	3197.058868
563	3194.136479
564	3191.505716
565	3191.397702
566	3188.581263
567	3187.616707
568	3186.884118
569	3186.380419
570	3183.566901
571	3182.263345
572	3181.029451
573	3179.552048
574	3176.514227
575	3174.218906
576	3172.960529
577	3170.020034
578	3168.061813
579	3165.027229
580	3160.679539
581	3159.277084
582	3157.51253
583	3156.461189
584	3154.81654
585	3151.827158
586	3150.440787
587	3150.279348
588	3150.096728
589	3148.078864
590	3145.789344
591	3143.083993
592	3140.394051
593	3138.43013
594	3135.413586
595	3132.722539
596	3132.229801
597	3129.804153
598	3128.178012
599	3125.972316
600	3125.456202
601	3124.545947
602	3121.66842
603	3119.585353
604	3116.866819
605	3114.995212
606	3112.610895
607	3111.576329
608	3109.764758
609	3108.536614
610	3105.795829
611	3104.579987
612	3103.618044
613	3102.080314
614	3100.958905
615	3098.787866
616	3096.354549
617	3094.235132
618	3091.981283
619	3089.348089
620	3087.275149
621	3085.568635
622	3083.460004
623	3081.617713
624	3080.527485
625	3079.628032
626	3076.564596
627	3075.394829
628	3075.222384
629	3074.207501
630	3073.442215
631	3072.724814
632	3070.67162
633	3069.118532
634	3065.864942
635	3064.700136
636	3062.795313
637	3058.933253
638	3057.753868
639	3056.086596
640	3055.193134
641	3055.103222
642	3052.318614
643	3051.223082
644	3049.102587
645	3047.5628
646	3045.809592
647	3043.4648
648	3042.583571
649	3042.071496
650	3041.158576
651	3040.71266
652	3039.447354
653	3039.012399
654	3038.584289
655	3037.708866
656	3037.31583
657	3036.082985
658	3035.24781
659	3033.903237
660	3032.154087
661	3030.645846
662	3028.764345
663	3028.328211
664	3025.845187
665	3024.043978
666	3023.716193
667	3023.203839
668	3020.789666
669	3019.944996
670	3018.974651
671	3017.826264
672	3017.438728
673	3016.999959
674	3016.599417
675	3016.125993
676	3015.174141
677	3014.235508
678	3013.73388
679	3011.197803
680	3009.45541
681	3007.657668
682	3006.963504
683	3006.070717
684	3002.714065
685	3000.628238
686	3000.256588
687	2997.145601
688	2996.252999
689	2995.386201
690	2994.292094
691	2992.806675
692	2991.015436
693	2989.462574
694	2988.609155
695	2986.083764
696	2985.725692
697	2985.171252
698	2981.694137
699	2978.456975
700	2976.365136
701	2974.979783
702	2973.290504
703	2970.432226
704	2969.29087
705	2968.336766
706	2966.242463
707	2965.41183
708	2963.784925
709	2962.546184
710	2960.766331
711	2959.10542
712	2957.993332
713	2957.176477
714	2955.335783
715	2953.533149
716	2951.910846
717	2949.692241
718	2948.32457
719	2945.632252
720	2944.82253
721	2943.82507
722	2942.947348
723	2941.332413
724	2940.908596
725	2940.553055
726	2938.998176
727	2937.075518
728	2936.737006
729	2936.396583
730	2934.655733
731	2933.528653
732	2932.46199
733	2931.347176
734	2928.731403
735	2926.66402
736	2924.842526
737	2924.051436
738	2922.742595
