iter	Passed	Remaining
0	225	224888
1	227	113712
2	240	79956
3	247	61508
4	248	49519
5	252	41891
6	257	36462
7	262	32490
8	262	28951
9	264	26166
10	265	23861
11	267	22060
12	270	20544
13	273	19294
14	278	18289
15	280	17257
16	282	16323
17	285	15585
18	288	14911
19	293	14359
20	295	13798
21	297	13212
22	300	12763
23	304	12377
24	308	12041
25	311	11674
26	314	11350
27	317	11033
28	320	10742
29	323	10466
30	326	10206
31	328	9942
32	331	9718
33	334	9516
34	339	9356
35	342	9164
36	357	9297
37	360	9120
38	363	8948
39	365	8782
40	370	8659
41	373	8519
42	376	8376
43	380	8275
44	385	8171
45	387	8026
46	390	7913
47	393	7795
48	394	7651
49	396	7542
50	398	7422
51	402	7339
52	405	7245
53	406	7125
54	410	7049
55	414	6986
56	417	6911
57	420	6829
58	423	6751
59	426	6676
60	429	6615
61	432	6538
62	434	6467
63	437	6402
64	440	6330
65	442	6260
66	445	6202
67	446	6120
68	449	6058
69	450	5987
70	452	5927
71	455	5867
72	457	5810
73	460	5759
74	462	5707
75	465	5653
76	467	5601
77	469	5550
78	471	5501
79	475	5464
80	477	5422
81	480	5376
82	482	5330
83	484	5286
84	487	5242
85	490	5211
86	493	5176
87	495	5135
88	497	5095
89	500	5056
90	502	5018
91	505	4990
92	507	4953
93	510	4917
94	512	4882
95	514	4847
96	517	4813
97	520	4791
98	522	4758
99	525	4726
100	527	4697
101	530	4668
102	532	4638
103	535	4611
104	537	4581
105	539	4552
106	542	4524
107	544	4496
108	546	4469
109	549	4449
110	552	4423
111	554	4399
112	557	4373
113	559	4348
114	561	4323
115	565	4312
116	568	4288
117	570	4264
118	572	4240
119	575	4217
120	578	4199
121	581	4183
122	583	4161
123	585	4139
124	588	4118
125	589	4092
126	592	4071
127	595	4059
128	598	4038
129	600	4019
130	602	3999
131	605	3981
132	608	3964
133	611	3951
134	614	3936
135	616	3917
136	619	3900
137	621	3882
138	625	3873
139	629	3865
140	631	3847
141	634	3831
142	636	3814
143	638	3797
144	641	3784
145	644	3767
146	646	3750
147	648	3734
148	651	3719
149	654	3711
150	657	3695
151	659	3680
152	662	3664
153	665	3653
154	667	3638
155	671	3633
156	674	3619
157	676	3605
158	678	3591
159	681	3577
160	684	3567
161	686	3553
162	689	3539
163	691	3526
164	694	3514
165	696	3500
166	702	3503
167	703	3485
168	706	3472
169	709	3461
170	711	3449
171	715	3446
172	717	3430
173	720	3418
174	722	3407
175	725	3394
176	727	3382
177	729	3370
178	732	3358
179	734	3346
180	737	3337
181	740	3327
182	744	3321
183	747	3314
184	749	3300
185	752	3294
186	755	3285
187	757	3273
188	760	3264
189	764	3257
190	767	3248
191	769	3239
192	773	3233
193	776	3225
194	779	3218
195	782	3211
196	785	3202
197	789	3197
198	792	3188
199	795	3180
200	797	3172
201	801	3164
202	805	3161
203	808	3155
204	811	3146
205	821	3166
206	824	3158
207	827	3150
208	830	3142
209	833	3134
210	837	3132
211	840	3124
212	843	3115
213	846	3107
214	848	3099
215	852	3094
216	855	3086
217	858	3078
218	860	3070
219	863	3062
220	866	3054
221	869	3047
222	872	3039
223	875	3031
224	879	3029
225	882	3021
226	884	3012
227	887	3003
228	889	2994
229	891	2985
230	894	2976
231	896	2968
232	900	2962
233	902	2953
234	904	2944
235	906	2935
236	909	2928
237	911	2919
238	915	2913
239	917	2905
240	919	2896
241	922	2888
242	924	2880
243	927	2872
244	942	2903
245	945	2897
246	947	2888
247	949	2880
248	952	2871
249	954	2863
250	957	2855
251	960	2849
252	962	2841
253	964	2833
254	967	2825
255	969	2817
256	971	2809
257	974	2803
258	977	2795
259	979	2787
260	983	2784
261	985	2776
262	987	2768
263	991	2763
264	993	2755
265	995	2746
266	997	2738
267	1000	2731
268	1002	2723
269	1005	2718
270	1006	2708
271	1010	2703
272	1012	2696
273	1015	2689
274	1017	2681
275	1020	2676
276	1022	2669
277	1025	2662
278	1027	2655
279	1029	2648
280	1032	2640
281	1034	2635
282	1037	2628
283	1039	2621
284	1042	2615
285	1044	2608
286	1047	2601
287	1049	2595
288	1052	2588
289	1054	2581
290	1057	2575
291	1059	2568
292	1061	2561
293	1064	2555
294	1066	2549
295	1069	2542
296	1071	2536
297	1073	2529
298	1076	2523
299	1079	2519
300	1082	2513
301	1084	2506
302	1087	2500
303	1089	2494
304	1091	2487
305	1094	2482
306	1096	2475
307	1099	2469
308	1101	2463
309	1103	2457
310	1106	2450
311	1108	2444
312	1111	2439
313	1113	2433
314	1116	2427
315	1118	2421
316	1120	2415
317	1123	2409
318	1125	2403
319	1130	2401
320	1133	2397
321	1137	2395
322	1140	2390
323	1146	2391
324	1149	2386
325	1152	2381
326	1154	2376
327	1158	2374
328	1161	2369
329	1164	2364
330	1167	2359
331	1170	2355
332	1175	2353
333	1177	2348
334	1180	2343
335	1183	2339
336	1186	2334
337	1190	2331
338	1193	2326
339	1196	2321
340	1198	2317
341	1202	2313
342	1206	2310
343	1208	2305
344	1212	2301
345	1214	2296
346	1217	2291
347	1222	2289
348	1225	2286
349	1228	2281
350	1231	2276
351	1236	2275
352	1239	2270
353	1242	2268
354	1245	2263
355	1249	2259
356	1252	2255
357	1255	2251
358	1258	2247
359	1261	2242
360	1265	2240
361	1268	2236
362	1271	2231
363	1274	2226
364	1277	2222
365	1281	2219
366	1284	2215
367	1287	2211
368	1290	2206
369	1292	2201
370	1336	2266
371	1338	2260
372	1341	2254
373	1343	2249
374	1347	2245
375	1350	2242
376	1358	2245
377	1362	2241
378	1364	2235
379	1366	2229
380	1369	2224
381	1372	2219
382	1376	2216
383	1378	2211
384	1381	2206
385	1384	2201
386	1386	2196
387	1390	2192
388	1392	2187
389	1394	2181
390	1397	2176
391	1399	2171
392	1405	2171
393	1410	2169
394	1417	2171
395	1420	2166
396	1423	2161
397	1425	2156
398	1428	2151
399	1430	2146
400	1433	2141
401	1436	2137
402	1438	2131
403	1441	2126
404	1443	2121
405	1446	2115
406	1449	2111
407	1452	2108
408	1459	2109
409	1461	2103
410	1464	2099
411	1467	2094
412	1470	2089
413	1472	2084
414	1474	2079
415	1477	2073
416	1480	2069
417	1482	2064
418	1484	2059
419	1487	2054
420	1489	2049
421	1492	2043
422	1494	2038
423	1496	2033
424	1499	2028
425	1502	2023
426	1504	2018
427	1506	2013
428	1509	2008
429	1511	2003
430	1513	1998
431	1516	1993
432	1518	1988
433	1521	1983
434	1523	1978
435	1526	1974
436	1528	1969
437	1531	1965
